number,title,type,processed,concat,vec
151.0,"Атомистическое компьютерное
моделирование материалов и процессов, важных в технологиях геологического
захоронения радиокативных отходов",НИР,атомистический компьютерный моделирование материал процесс важный технология геологический захоронение радиокативный отходы,атомистический компьютерный моделирование материал процесс важный технология геологический захоронение радиокативный отходы НИР,"[-0.009267976507544518, -0.02185404859483242, 0.021079635247588158, 0.00924014113843441, -0.008261601440608501, -0.006467245053499937, -0.022266924381256104, 0.012420781888067722, -0.006045366637408733, -0.024949505925178528, -0.0010097577469423413, 0.025011558085680008, -0.015286694280803204, -0.0033481463324278593, 0.02171141281723976, -0.00721956929191947, 0.010917275212705135, -0.004501623101532459, -0.023978091776371002, -0.016200829297304153, -0.00832800380885601, -0.0109826335683465, 0.017454542219638824, 0.026986975222826004, 0.018262041732668877, 0.00046511879190802574, 0.004195576533675194, -0.000708232750184834, 0.010613512247800827, -1.76544017449487e-05, 0.016727028414607048, -0.00043086326331831515, -0.0012747668661177158, -0.005820312537252903, 0.009696601890027523, 0.007963680662214756, -0.0059045725502073765, -0.016081178560853004, -0.000802893890067935, 0.007626117207109928, -0.022556940093636513, -0.023282751441001892, -0.002483909483999014, 0.01723841205239296, 0.004037898033857346, 0.002495015738531947, 0.0009526817011646926, 9.45075589697808e-05, 0.02021906152367592, -0.023265758529305458, -0.014759907498955727, 0.012830832041800022, -0.010781407356262207, -0.004382557235658169, 0.015221803449094296, -0.02362450771033764, -0.00497860973700881, 0.0053012133575975895, 0.001441458472982049, -0.026358243077993393, 0.010921530425548553, -0.008011853322386742, -0.008297191932797432, 0.008752353489398956]"
152.0,Проведение оси для картирования свойств трансмембранных белковых пор на примере ионного канала TRPV1,НИР,проведение ось картирование свойство трансмембранный белковый пора пример ионный канал trpv1,проведение ось картирование свойство трансмембранный белковый пора пример ионный канал trpv1 НИР,"[-0.014395590871572495, -0.026986686512827873, 0.026650315150618553, 0.004696805961430073, -0.000998562783934176, -0.0034058724995702505, -0.021315371617674828, 0.016199031844735146, -0.006596473511308432, -0.03933766111731529, 0.00787368044257164, 0.04540007561445236, -0.02679412253201008, -0.01634052023291588, 0.023916147649288177, 0.0037262081168591976, 0.01322459988296032, -0.019324900582432747, -0.026207370683550835, -0.014087674207985401, -0.012826424092054367, -0.005346418358385563, 0.020342746749520302, 0.029899653047323227, 0.03526279702782631, 0.011956636793911457, 0.004562645219266415, -0.00454730773344636, 0.011789263226091862, -0.005905163940042257, 0.019175374880433083, 0.0026591792702674866, 0.0078118946403265, -0.008447173982858658, 0.00837224442511797, 0.022998560220003128, 0.008057243190705776, -0.030076147988438606, -0.009994837455451488, 0.005520740989595652, -0.020277855917811394, -0.014924596063792706, -0.0029742601327598095, 0.032003067433834076, 0.005464319139719009, 0.0019185648998245597, 0.0005018768715672195, 0.006612364202737808, 0.022691581398248672, -0.013435594737529755, -0.018466956913471222, 0.004512669984251261, -0.01191487442702055, -0.0036945620086044073, 0.025518523529171944, -0.03160852938890457, -0.00251438794657588, 0.00236189435236156, 0.002950249006971717, -0.033213816583156586, 0.004947389010339975, -0.008983609266579151, -0.008567232638597488, 0.0070905983448028564]"
153.0,"«Из воды в мембрану и
обратно»: Компьютерный анализ молекулярных механизмов разворачивания
глобулярного белка в среде, имитирующей мембрану клетки",НИР,« вода мембрана обратно »:  компьютерный анализ молекулярный механизм разворачивание глобулярный белок среда имитировать мембрана клетка,« вода мембрана обратно »:  компьютерный анализ молекулярный механизм разворачивание глобулярный белок среда имитировать мембрана клетка НИР,"[-0.014834955334663391, -0.045568861067295074, 0.029029428958892822, 0.013467895798385143, -0.005709533579647541, -0.006377780344337225, -0.020167356356978416, 0.03368481248617172, -0.011958015151321888, -0.05079609155654907, 0.003350395942106843, 0.04823613911867142, -0.029286891222000122, -0.017892738804221153, 0.030567292124032974, -0.007316527888178825, 0.022666022181510925, -0.025816652923822403, -0.022823162376880646, -0.023695606738328934, -0.018571143969893456, -0.009585430845618248, 0.03893081471323967, 0.03203361853957176, 0.030411450192332268, -0.0003577981551643461, 0.007165191229432821, -8.839811926009133e-05, 0.0007073475862853229, -0.005249032750725746, 0.021052874624729156, 0.003491433337330818, 0.003798975143581629, -0.019544733688235283, 0.002899228362366557, 0.020581893622875214, 0.0024228498805314302, -0.03763696923851967, -0.0071264165453612804, 0.0012851253850385547, -0.03745273873209953, -0.02493644319474697, -0.0016466793604195118, 0.03971783071756363, 0.011443053372204304, -0.001820639125071466, 0.00484214723110199, 0.008051092736423016, 0.01752593368291855, -0.019466575235128403, -0.020746437832713127, 0.012390639632940292, -0.01898270659148693, -0.004182626027613878, 0.03907621651887894, -0.03176626190543175, -0.012431630864739418, 0.004259155131876469, -0.0004944176180288196, -0.04590698331594467, 0.013817795552313328, -0.0038074259646236897, -0.011051472276449203, -0.0009751969482749701]"
154.0,"Разработка программного
комплекса Platinum, предназначенного для анализа данных вычислительных
экспериментов в молекулярной биологии",НИР,разработка программный комплекс platinum предназначать анализ данные вычислительный эксперимент молекулярный биология,разработка программный комплекс platinum предназначать анализ данные вычислительный эксперимент молекулярный биология НИР,"[-0.012073026038706303, -0.010738961398601532, 0.011332607828080654, -0.00311576621606946, -0.00044616658124141395, -0.006312212441116571, -0.019034357741475105, 0.013916825875639915, -0.009282315149903297, -0.020191363990306854, 0.0063421460799872875, 0.03285044804215431, -0.017225999385118484, -0.0017295462312176824, 0.020691707730293274, 0.0032828422263264656, 0.015830231830477715, -0.011566969566047192, -0.011952980421483517, -0.013939875178039074, -0.00025078756152652204, -0.01406530849635601, 0.013197286054491997, 0.020373361185193062, 0.018636301159858704, 0.005760085768997669, 0.00866226851940155, -0.007519588805735111, 0.0016239677788689733, -0.009501660242676735, 0.00796161312609911, 0.0062583135440945625, 0.0019499447662383318, -0.003049879102036357, -0.002198553876951337, 0.009009674191474915, -0.0008510489715263247, -0.009089444763958454, -0.0011677136644721031, -0.005334215704351664, -0.01167463418096304, -0.00945054367184639, -0.006906073074787855, 0.014791899360716343, 0.007421382702887058, 0.004857868421822786, -0.00426960876211524, 0.0006037595449015498, 0.01762501336634159, -0.013774621300399303, -0.00529030617326498, 0.0012934053083881736, -0.009089110419154167, -0.002390232402831316, 0.018402136862277985, -0.009381257928907871, -0.008783405646681786, -0.002019538776949048, 0.0034603928215801716, -0.026850072667002678, -0.0005887896986678243, -0.0014307149685919285, 0.0018609504913911223, 0.0029327268712222576]"
155.0,"Разработка системы разрешения коллизий в
многопользовательском канале передачи данных",НИР,разработка система разрешение коллизия многопользовательский канал передача данные,разработка система разрешение коллизия многопользовательский канал передача данные НИР,"[-0.005932379048317671, -0.015862111002206802, 0.002318345010280609, 0.001124568865634501, 0.0050460053607821465, -0.004033474717289209, 0.00024901662254706025, 0.01074734516441822, 0.0022408796939998865, -0.01351949479430914, -0.003657442517578602, 0.008963063359260559, -0.010343333706259727, -0.008816731162369251, 0.012264866381883621, -0.006154139060527086, 0.009253416210412979, -0.010926171205937862, -0.008303262293338776, -0.0030543592292815447, -0.009040413424372673, -0.004916849546134472, 0.007334214169532061, 0.008858802728354931, 0.0034778646659106016, 0.008046664297580719, 0.006528656464070082, -0.007511338219046593, 0.008895108476281166, -0.009700206108391285, 0.0038420259952545166, 0.0005964874289929867, 0.006522339768707752, -8.751517270866316e-06, -0.0021716689225286245, -0.00014041220129001886, 0.00376336183398962, -0.016204936429858208, -0.005915080662816763, -0.002442112425342202, -0.014929325319826603, -0.0018003181321546435, -0.008625435642898083, 0.008691876195371151, -0.0035517432261258364, 0.0014740106416866183, 0.007558397948741913, -0.002598772756755352, 0.004465821664780378, -0.0061979447491467, -0.011969562619924545, 0.0033237780444324017, -0.006878408137708902, -0.004380239639431238, 0.014829535037279129, -0.01238958165049553, -0.007175347302109003, -0.004688712302595377, -0.0013083565281704068, -0.013597478158771992, -0.0018945601768791676, -0.00481540197506547, 0.0030057253316044807, 0.004904252476990223]"
156.0,Разработка кодов для сверхскоростной передачи данных,НИР,разработка код сверхскоростной передача данные,разработка код сверхскоростной передача данные НИР,"[-0.00013571542513091117, -0.011988231912255287, 0.009779666550457478, 0.005087207071483135, -0.006874073762446642, 0.0030667453538626432, 0.0013756458647549152, 0.007773065008223057, -0.0002348517009522766, -0.015972914174199104, 0.0007096844492480159, 0.012927208095788956, -0.013015925884246826, -0.0007143149268813431, 0.009601663798093796, 0.0022814793046563864, 0.010497335344552994, -0.0031459429301321507, -0.011629288084805012, -0.003311300417408347, -0.009338785894215107, -0.00500088557600975, 0.002055659657344222, 0.010393756441771984, 0.009001268073916435, 0.008999467827379704, -0.0025305128656327724, 0.00044205604353919625, 0.008652517572045326, -0.0032372029963880777, 0.00965026579797268, 0.0064102341420948505, 0.00695890374481678, -0.004925469867885113, -0.006197056267410517, 0.00859503261744976, -0.007026664447039366, -0.01420862227678299, 0.0009637752664275467, 0.006937460042536259, -0.00606165686622262, -0.012540126219391823, 0.00166599964722991, 0.0020172609947621822, 0.002537089167162776, -0.005558482836931944, 0.0017206626944243908, 0.004000379703938961, -0.0010233132634311914, -0.0032994209323078394, -0.010786688886582851, 0.009584232233464718, 0.0007967522251419723, -0.0006296731880865991, 0.004456506576389074, -0.006328504532575607, -0.008547130972146988, -0.0003451676166150719, -0.005622528959065676, -0.012554765678942204, -0.005347938742488623, -0.006512278690934181, -0.003401302034035325, 0.00019532851001713425]"
157.0,Исследование  проблем управления запасом дискретных и непрерывных продуктов на основе стохастических моделей регенерации,НИР,исследование проблема управление запас дискретный непрерывный продукт основа стохастический модель регенерация,исследование проблема управление запас дискретный непрерывный продукт основа стохастический модель регенерация НИР,"[-0.005962042137980461, -0.02059665322303772, 0.012495525181293488, -0.0018929862417280674, 0.0008520486298948526, -0.0018310886807739735, -0.005896599497646093, 0.015043597668409348, -0.001346456236205995, -0.031042369082570076, -0.003462145570665598, 0.030393272638320923, -0.016359051689505577, -0.013178149238228798, 0.006777638103812933, 0.0005573339876718819, 0.0073242089711129665, -0.0022696945816278458, -0.021509572863578796, -0.004671039525419474, -0.01484177727252245, -0.012346647679805756, 0.016912082210183144, 0.015683583915233612, 0.02262643724679947, -0.0006105072097852826, 0.004008544143289328, 0.0016616613138467073, 0.007982075214385986, -0.005719016306102276, 0.01765807904303074, 0.00644500320777297, 0.006153196096420288, -0.002564662368968129, 0.007898702286183834, 0.0037324542645365, 0.0033176573924720287, -0.020386656746268272, -0.0022185638081282377, 0.0008432398899458349, -0.007652707397937775, -0.008850181475281715, -0.0016497091855853796, 0.02339046448469162, 0.007389080245047808, 0.0019348408095538616, 0.0019767803605645895, -0.0010556537890806794, 0.008618761785328388, -0.009357825852930546, -0.008968019858002663, 0.006741199176758528, -0.011262459680438042, 0.0017392404843121767, 0.01148696057498455, -0.017653515562415123, -0.0009014419047161937, 0.01077160146087408, 0.00034518970642238855, -0.02483084797859192, 0.0018010711064562201, 0.0017017506761476398, -0.013218298554420471, 0.0023950457107275724]"
158.0,"Атомистическое моделирование
свойств конденсированного вещества",НИР,атомистический моделирование свойство конденсировать вещество,атомистический моделирование свойство конденсировать вещество НИР,"[-0.00986699853092432, -0.0072173005901277065, 0.004870537202805281, 0.003002803074195981, -0.002482060343027115, 0.005487675778567791, -0.002218814566731453, 0.007999877445399761, -0.008854269050061703, -0.008974837139248848, -0.0020632834639400244, 0.017084063962101936, -0.007609343156218529, -0.008010751567780972, 0.0030518979765474796, -0.0065694283694028854, -0.0007721285219304264, -0.00110066297929734, -0.012314186431467533, -0.010240410454571247, -0.008577152155339718, 0.00341227138414979, 0.014067351818084717, 0.0066091339103877544, 0.005983308423310518, 0.005519670434296131, 0.003956804517656565, -0.001072229235433042, 0.004928623326122761, 0.00111423060297966, 0.007381626404821873, -0.002028847113251686, -0.0023812863510102034, 0.0009394544758833945, -0.0012866468168795109, 0.01235093642026186, -0.0009511271491646767, -0.005076444707810879, 0.005908458027988672, -0.007828916423022747, -0.014271675609052181, -0.0018290018197149038, 0.0018332564504817128, 0.0015340178506448865, -0.005588758271187544, -0.0038617730606347322, -0.0058348337188363075, -0.005740046501159668, 0.006163912359625101, -0.008296551182866096, -0.01198715902864933, 0.010999638587236404, -0.003489596536383033, 0.004831243772059679, 0.008899427950382233, -0.0058799064718186855, -0.0063019744120538235, 0.001748056965880096, -0.0048301974311470985, -0.014656483195722103, 0.009031190536916256, -0.006747478153556585, 0.0017356185708194971, 0.00280104111880064]"
159.0,Система автотестов для мобильных и веб-приложения ONETRAK,Прогр-аппарат.,система автотест мобильный веб приложение onetrak,система автотест мобильный веб приложение onetrak Прогр-аппарат.,"[-0.012840721756219864, -0.010234292596578598, 0.007317899260669947, -0.003017456503584981, -0.00499603059142828, 0.003016998525708914, -0.004201536998152733, 0.004724383354187012, 0.004420856013894081, -0.01629185676574707, 0.006635468453168869, 0.016220249235630035, -0.011717854999005795, -0.0003003485908266157, 0.010489755310118198, -0.007471104618161917, 0.00226296903565526, 0.0009554520365782082, -0.003993467427790165, -0.004072329495102167, -0.010729038156569004, -0.010562938638031483, 0.0061170561239123344, 0.01904740370810032, 0.008486303500831127, 0.004881017375737429, 0.007738169282674789, 0.002469719387590885, 0.006131367292255163, -0.0033366582356393337, 0.008661694824695587, -0.004667692352086306, -0.005716931074857712, -0.002067886060103774, 0.0003216340555809438, 0.0016770248766988516, 0.0040617878548800945, -0.007130368147045374, 0.001154786441475153, -0.0038445645477622747, -0.01163570024073124, -0.004679359495639801, -0.0028225670102983713, 0.003348519327118993, 0.0015760150272399187, 0.00384539389051497, 0.0045201838947832584, 0.0021394123323261738, 0.0121487807482481, -0.001992639619857073, -0.01036685798317194, 0.001342756557278335, -0.01309910323470831, -0.0027165748178958893, 0.004170316271483898, -0.0012685785768553615, -0.007624078541994095, 0.00678597716614604, -0.0009905219776555896, -0.01551213301718235, 0.0022856376599520445, 0.0049678366631269455, -0.0004435107402969152, -0.0002886763832066208]"
160.0,Система генерации отчетов на базе данных ONETRAK,Прогр.,система генерация отчет база данные onetrak,система генерация отчет база данные onetrak Прогр.,"[-0.0021554792765527964, -0.008375096134841442, 0.00951948668807745, -0.004820746369659901, -0.008328909054398537, 0.004912815056741238, -0.005515109281986952, 0.010943048633635044, -0.0051513127982616425, -0.017676791176199913, 0.0036785646807402372, 0.015259135514497757, -0.00950369331985712, -0.011188389733433723, 0.005435959901660681, 0.0049565932713449, 0.006598584353923798, -0.0037788781337440014, -0.004683231003582478, 0.0020589292980730534, -0.009847350418567657, -0.00042479054536670446, 0.01436141412705183, 0.002269906224682927, 0.0033459302503615618, 0.0021794685162603855, 0.00461803562939167, 0.004306314513087273, -0.0058557819575071335, -0.004801926203072071, 0.008171508088707924, 0.0027680150233209133, 0.007736521773040295, 0.0019864002242684364, -0.004178422968834639, 0.0027507201302796602, -0.005999663844704628, -0.006539721041917801, -0.007183101959526539, -0.0050360593013465405, -0.009544446133077145, -0.00972692295908928, 0.0009122237679548562, 0.0012696225894615054, 0.00199087243527174, -0.0045930976048111916, -0.002892328891903162, 0.0031173250172287226, 0.005412776488810778, -0.006269888486713171, -0.007756480481475592, 0.010214116424322128, -0.003680136054754257, -0.0036254979204386473, 0.007308872416615486, -0.013702339492738247, -0.0068629044108092785, 0.0003040379087906331, 0.0035609875340014696, -0.0157253909856081, 0.007824141532182693, -0.005735425278544426, 0.0043713427148759365, -0.0055080302990973]"
161.0,Верстка корпоративного сайта ONETRAK,Прогр.,верстка корпоративный сайт onetrak,верстка корпоративный сайт onetrak Прогр.,"[-0.00013965327525511384, -0.01132429949939251, 0.003711747471243143, -0.0007279702695086598, 0.005408889148384333, 0.0036161562893539667, -0.0020032566972076893, 0.01316660363227129, -0.0009851689683273435, -0.01821836642920971, -0.00468837283551693, 0.01469266414642334, -0.01192588172852993, -0.008164339698851109, 0.0014009439619258046, -0.003999603912234306, -0.00017124357691500336, -0.0025542492512613535, -0.011124879121780396, -0.004540077410638332, -0.006329530384391546, 0.0035432467702776194, 0.005072445143014193, 0.011297132819890976, 0.015669960528612137, 0.004673027899116278, -0.005336312111467123, -0.008014030754566193, -0.0026471600867807865, 0.0009963897755369544, 0.003429072443395853, -0.005362998694181442, 0.002143286168575287, 0.004327474627643824, 0.009399102069437504, 0.0005486855516210198, -0.0019908042158931494, -0.016824977472424507, 0.0035353347193449736, 0.0002902209816966206, -0.009852183982729912, -0.006606237031519413, 0.004604404326528311, 0.008659858256578445, 0.0080198859795928, 0.0023703789338469505, -0.003327813697978854, 0.004698782227933407, 0.0052365888841450214, -0.005525616928935051, -0.011118295602500439, -0.001476286444813013, -0.0025858404114842415, -0.0017475067870691419, 0.010902096517384052, -0.0037949057295918465, -0.00494394451379776, 0.00210942723788321, -0.003406357252970338, -0.020834708586335182, -0.0007472592988051474, -0.0053536840714514256, 0.0002831344900187105, -0.0013103702804073691]"
162.0,Многофункциональная инфраструктура с независимым клиентским обслуживанием для реализации корпоративных и бизнес-задач,Прогр-аппарат.,многофункциональный инфраструктура независимый клиентский обслуживание реализация корпоративный бизнес задача,многофункциональный инфраструктура независимый клиентский обслуживание реализация корпоративный бизнес задача Прогр-аппарат.,"[-0.010774749331176281, -0.015768863260746002, 0.01821278966963291, 0.005624127108603716, 0.0007116924389265478, -0.00859049428254366, -0.017577869817614555, 0.017360780388116837, 0.0039194016717374325, -0.02602660469710827, -0.0017184107564389706, 0.03214050829410553, -0.011083223856985569, -0.016356848180294037, 0.00844429899007082, -0.008297077380120754, 0.011987884528934956, -0.008739889599382877, -0.019694609567523003, -0.012830084189772606, -0.008609368465840816, -0.0005992281367070973, 0.019504420459270477, 0.013754481449723244, 0.015240891836583614, -7.697921682847664e-05, -0.0038697849959135056, 0.006052212789654732, 0.006897050887346268, -0.009052465669810772, 0.005100388545542955, -0.0046256729401648045, -0.0069998460821807384, -0.0010443085338920355, 0.006835129577666521, 0.004373940173536539, 0.0019089820561930537, -0.010702278465032578, -0.0014605936594307423, -0.001628087367862463, -0.019686736166477203, -0.011077789589762688, 0.0025777893606573343, 0.015590015798807144, 0.009159251116216183, 0.0005563749582506716, 0.0013270372292026877, 0.004074344411492348, 0.014069030061364174, -0.012966630980372429, -0.012799806892871857, 0.014103604480624199, -0.01192907802760601, 0.003988484852015972, 0.023069288581609726, -0.008877396583557129, -0.00792629737406969, 0.007719262503087521, 0.009343426674604416, -0.028725527226924896, -0.00195565028116107, 0.005596798844635487, -0.0038949137087911367, 0.004055878613144159]"
163.0,Программное обеспечение для отслеживания и контроля посещаемости персонала,Прогр-аппарат.,программный обеспечение отслеживание контроль посещаемость персонал,программный обеспечение отслеживание контроль посещаемость персонал Прогр-аппарат.,"[-0.004432403016835451, -0.01904151402413845, 0.012760070152580738, -7.684724550927058e-05, 0.0020853588357567787, 0.00519290566444397, -0.01002434641122818, 0.0153792230412364, -0.0071335444226861, -0.018551498651504517, -0.0014130002819001675, 0.01970483921468258, -0.016185594722628593, -0.011069947853684425, 0.010934282094240189, 0.0028502359054982662, 0.010459819808602333, -0.008902691304683685, -0.007916144095361233, -0.008747056126594543, -0.010068382136523724, -0.0021898257546126842, 0.017076563090085983, 0.016609473153948784, 0.0037030053790658712, -0.0017019211081787944, 0.004913718439638615, 0.003909383434802294, -0.0019293634686619043, -0.0009410489001311362, 0.014059686101973057, 0.004553016275167465, -0.0018163828644901514, 0.002939198398962617, 0.007133058737963438, 0.013157961890101433, 0.005993146449327469, -0.00788434874266386, -0.00428683590143919, -0.006619666703045368, -0.01236444991081953, -0.0016639166278764606, 0.00018506844935473055, 0.018141135573387146, 5.037775736127514e-06, -0.003864437574520707, 0.0002577014092821628, 0.004780486226081848, 0.0012947453651577234, -0.007479986175894737, -0.008693276904523373, 0.00366647494956851, -0.014322970062494278, -0.006022037472575903, 0.010509385727345943, -0.005608950741589069, -1.6920757843763568e-05, -0.0015155422734096646, -0.0010835309512913227, -0.017532488331198692, 0.008305054157972336, 0.004170942585915327, 0.0035983864217996597, -0.0026415244210511446]"
164.0,Англоязычная версия интерфейса мобильного приложения ONETRAK,Прогр.,англоязычный версия интерфейс мобильный приложение onetrak,англоязычный версия интерфейс мобильный приложение onetrak Прогр.,"[-0.006956255529075861, -0.007621838245540857, 0.0018441933207213879, 0.0029794499278068542, 0.0035113876219838858, -0.0033462776336818933, -0.0086125573143363, 0.013509468175470829, -0.006527361925691366, -0.014792386442422867, -0.0006041079759597778, 0.0129640968516469, -0.01723715104162693, -9.677952039055526e-05, 0.017131518572568893, -0.005445031449198723, 0.01272728480398655, 0.0007160074892453849, -0.008400366641581059, 0.00021651688439305872, -0.010386239737272263, -0.00037313016946427524, 0.018291369080543518, 0.007656332571059465, 0.005490685813128948, 0.004748568404465914, -0.006504770368337631, -0.006524877622723579, 0.008488687686622143, -0.000872083764988929, 0.0027882400900125504, -0.004105790052562952, -0.0022544513922184706, -0.00610691262409091, 0.0012706163106486201, 0.0020806354004889727, -0.0002022477419814095, -0.014017543755471706, 0.0030756578780710697, 0.0002256774459965527, -0.016155390068888664, -0.011464117094874382, -0.00354170985519886, 0.01078726351261139, -0.00034387034247629344, 0.008323214016854763, -0.002815952757373452, 0.004031736869364977, 0.010946174152195454, -0.013813881203532219, -0.0019911557901650667, 0.0036329738795757294, -0.012950040400028229, -0.00534986425191164, 0.013662868179380894, -0.018684303387999535, 0.003050413215532899, -0.002741011790931225, 0.0020684751216322184, -0.016449185088276863, 0.010880746878683567, 0.004794070962816477, -0.0016094238962978125, -0.002285401802510023]"
165.0,"Разработка
противоугонного модуля для велотранспорта",Прогр-аппарат.,разработка противоугонный модуль велотранспорт,разработка противоугонный модуль велотранспорт Прогр-аппарат.,"[-0.010504566133022308, -0.011158529669046402, 0.008329808712005615, -0.002852044068276882, 0.0012327516451478004, -0.005016838666051626, -0.0004830536781810224, 0.010542547330260277, 0.001222466235049069, -0.012103374116122723, 0.0075262184254825115, 0.013074984773993492, -0.004800678230822086, -0.007475718390196562, 0.00018823369464371353, 0.002169581362977624, 0.011751687154173851, -0.0003598140028771013, 0.0009301251848228276, 0.00044460350181907415, -0.005770073272287846, 0.0011899109231308103, 0.008576871827244759, 0.012632611207664013, 0.01021802518516779, 0.008642099797725677, 0.0038938254583626986, -0.0075636920519173145, 0.002846740884706378, 0.0051782079972326756, 0.00213684537447989, 0.007040628232061863, -0.002926488174125552, 1.3034928088018205e-05, -0.0004910005955025554, 0.01069524697959423, 0.003118191147223115, -0.009797732345759869, 0.00024620137992314994, 0.006611684337258339, -0.00497644254937768, -0.0006041817832738161, -0.005245576146990061, 0.0014426280977204442, 0.0010715376120060682, 0.0047393436543643475, -0.006110482383519411, 0.0004121348902117461, 0.01077829860150814, 0.0019871580880135298, -0.007818755693733692, 0.004953350871801376, -0.004536176100373268, -0.0050090826116502285, 0.007813715375959873, -0.005572165362536907, 0.0011148677440360188, -0.003773474832996726, -0.004256666172295809, -0.010136623866856098, 0.0010078073246404529, -0.005201294552534819, 0.005325646605342627, -0.002308228285983205]"
166.0,Суперкомпьютерное моделирование в науке и инженерии,НИР,суперкомпьютерный моделирование наука инженерия,суперкомпьютерный моделирование наука инженерия НИР,"[-0.00935490895062685, -0.00801017601042986, 0.0008860233356244862, 0.0057430868037045, 0.002407883061096072, -0.004122555255889893, -0.010465902276337147, -0.002427895087748766, 0.0022805288899689913, -0.008811603300273418, 0.005076880566775799, 0.00936026219278574, -0.00144403544254601, -0.010064776055514812, 0.006101659033447504, 0.0022266157902777195, 0.007092921994626522, -0.009484728798270226, 0.0016945103416219354, -0.010270122438669205, 0.001223280793055892, 0.004139902535825968, 0.01160642970353365, -8.419112418778241e-05, 0.006808904465287924, 0.0018554319394752383, 0.007368965074419975, -0.007326915860176086, -0.0049708932638168335, -0.006753954105079174, -0.002355970209464431, -0.007644535042345524, 0.0045488011091947556, -0.008219672366976738, 0.0013760493602603674, 0.004602433182299137, -0.004428809508681297, -0.0009784898720681667, 0.0016475400188937783, 0.005528844892978668, 0.0009021047153510153, -0.008226074278354645, -0.003732128767296672, 0.005979989655315876, -0.006337674800306559, 0.0013251124182716012, 0.007692854851484299, 0.0018176997546106577, 0.010694663971662521, 0.0006324747810140252, -0.008110294118523598, 0.008040078915655613, -0.004876790102571249, -0.004550369922071695, 0.0033343450631946325, -0.00542881665751338, -0.0065015219151973724, 0.0004349912633188069, 0.0024442134890705347, -0.008341397158801556, -0.002179432427510619, 0.0005387486307881773, -0.007935556583106518, -0.004872356075793505]"
167.0,"Оценка хвостов распределения
частиц по энергиям в наноразмерных системах",НИР,оценка хвостов распределение частица энергия наноразмерный система,оценка хвостов распределение частица энергия наноразмерный система НИР,"[-0.009386246092617512, -0.012451053597033024, 0.014695355668663979, 0.010351032949984074, -0.004201394040137529, -0.000998647534288466, -0.0011551511706784368, 0.010410516522824764, 0.000894603377673775, -0.014784992672502995, 0.00015497469576075673, 0.012080502696335316, -0.008423353545367718, -0.0022220832761377096, 0.01643303781747818, -0.0008402025559917092, 0.0010221860138699412, -0.0022213030606508255, -0.015642674639821053, -0.005000611767172813, -0.012462606653571129, -0.008701745420694351, 0.01760045252740383, 0.01157784927636385, 0.009324057959020138, 0.0018940001027658582, -0.0026309755630791187, -0.0005378048517741263, 0.009091578423976898, -0.0022891713306307793, 0.006849019322544336, 0.004472534172236919, -0.002266755560413003, -0.005748684983700514, 0.00147866306360811, 0.009958327747881413, 0.008750288747251034, -0.014978517778217793, -0.0005276792217046022, 0.0043434863910079, -0.009674574248492718, -0.012975105084478855, 0.002042189473286271, 0.011938672512769699, 0.005081238690763712, 0.005551072768867016, 0.00882500596344471, 0.004244734067469835, 0.012290592305362225, -0.004934200085699558, -0.007822075858712196, -0.001950821722857654, -0.014612838625907898, -0.004730565007776022, 0.004541425500065088, -0.004570442717522383, -0.0025278490502387285, -0.0002802986709866673, 0.0025571384467184544, -0.015615268610417843, 0.0017496722284704447, -0.0022224867716431618, -0.008471944369375706, -0.001585313118994236]"
168.0,"Оптимизация методов вычисления
спектров случайных процессов для нужд суперкомпьютерного моделирования",НИР,оптимизация метод вычисление спектр случайный процесс нужда суперкомпьютерный моделирование,оптимизация метод вычисление спектр случайный процесс нужда суперкомпьютерный моделирование НИР,"[-0.004790801554918289, -0.020333727821707726, 0.017854832112789154, 0.008732789196074009, 6.305637361947447e-05, 0.002125761704519391, -0.013313359580934048, 0.014594677835702896, 0.00043319264659658074, -0.029334990307688713, 0.007180613465607166, 0.033206209540367126, -0.02277822233736515, -0.001784947351552546, 0.015494056046009064, -0.0012736995704472065, 0.009032102301716805, -0.008148196153342724, -0.01189910527318716, -0.015106027014553547, -0.003358001122251153, -0.0012161044869571924, 0.017971282824873924, 0.011473077349364758, 0.02075555920600891, -0.001186965499073267, 0.0029670188669115305, -0.000653787050396204, -0.002303851768374443, -0.0035563029814511538, 0.012577159330248833, -0.008056672289967537, -0.0010698072146624327, -0.013252265751361847, -0.004439662676304579, 0.013088659383356571, 0.004798991605639458, -0.022453445941209793, -0.00948205217719078, -0.006760782096534967, -0.019541501998901367, -0.01017534639686346, -0.0070456271059811115, 0.022889891639351845, 0.011184296570718288, -0.004498266149312258, 0.006287680938839912, 9.859567217063159e-05, 0.012104950845241547, -0.015698615461587906, -0.0035816982854157686, 0.004763472825288773, -0.00444857869297266, -0.004088305402547121, 0.008955386467278004, -0.014069409109652042, -0.0002031633339356631, 0.0008181350422091782, -0.003566081402823329, -0.021968375891447067, 0.0030189789831638336, -0.0006102182669565082, -0.009639509953558445, 0.002516773296520114]"
